timestamp,latitude,longitude,altitude_m,speed_knots,course_deg,fix_quality,sats_used,hdop,pdop,vdop,total_sats_in_view,avg_cn0,horizontal_error_m
2020-02-07T02:14:17,37.42639366666667,-122.0936525,4.4,0.028,65.13,5,12,0.76,1.48,1.27,11,39.306451612903224,0.9320970880954423
2020-02-07T02:14:18,37.42639366666667,-122.0936525,4.4,0.026,65.13,5,12,0.76,1.48,1.27,11,39.41935483870968,0.9320970880954423
2020-02-07T02:14:19,37.42639366666667,-122.0936525,4.4,0.028,65.14,5,12,0.76,1.48,1.27,11,39.564516129032256,0.9320970880954423
2020-02-07T02:14:20,37.42639366666667,-122.0936525,4.4,0.025,65.15,5,12,0.76,1.48,1.27,11,39.24193548387097,0.9320970880954423
2020-02-07T02:14:21,37.426393833333336,-122.09365233333334,4.4,0.022,65.14,5,12,0.76,1.48,1.27,11,39.58064516129032,0.910219176845882
2020-02-07T02:14:22,37.426393833333336,-122.09365233333334,4.4,0.029,65.15,5,12,0.76,1.48,1.27,11,39.41935483870968,0.910219176845882
2020-02-07T02:14:23,37.426393833333336,-122.09365233333334,4.4,0.028,65.15,5,12,0.76,1.48,1.27,11,39.62903225806452,0.9110030997007987
2020-02-07T02:14:24,37.426393833333336,-122.09365216666667,4.4,0.003,65.15,5,12,0.76,1.48,1.27,11,39.483870967741936,0.8989654180117922
2020-02-07T02:14:25,37.426393833333336,-122.09365216666667,4.4,0.003,65.15,5,12,0.76,1.48,1.27,11,39.25806451612903,0.8986933356630932
2020-02-07T02:14:26,37.426393833333336,-122.09365216666667,4.4,0.013,65.15,5,12,0.76,1.48,1.27,11,39.564516129032256,0.8984366184167206
2020-02-07T02:14:27,37.426393833333336,-122.09365233333334,4.4,0.022,65.16,5,12,0.76,1.48,1.27,11,39.274193548387096,0.9086618760519456
2020-02-07T02:14:28,37.426393833333336,-122.09365233333334,4.4,0.009,65.16,5,12,0.76,1.48,1.27,11,39.596774193548384,0.9057051396959132
2020-02-07T02:14:29,37.426393833333336,-122.09365216666667,4.4,0.006,65.16,5,12,0.76,1.48,1.27,11,39.516129032258064,0.8922744188981249
2020-02-07T02:14:30,37.426393833333336,-122.09365216666667,4.4,0.007,65.16,5,12,0.76,1.48,1.27,11,39.67741935483871,0.8922744188981249
2020-02-07T02:14:31,37.426393833333336,-122.09365216666667,4.4,0.012,65.17,5,12,0.76,1.48,1.27,11,39.67741935483871,0.8925311623760636
2020-02-07T02:14:32,37.426394,-122.09365216666667,4.4,0.011,65.16,5,12,0.76,1.48,1.27,11,39.37096774193548,0.8834837216739504
2020-02-07T02:14:33,37.426394,-122.09365216666667,4.4,0.014,65.17,5,12,0.76,1.48,1.27,11,39.596774193548384,0.8836556597546732
2020-02-07T02:14:34,37.426394,-122.093652,4.4,0.02,65.17,5,12,0.76,1.48,1.27,11,39.483870967741936,0.8707093585375488
2020-02-07T02:14:35,37.426394,-122.093652,4.4,0.02,65.18,5,12,0.76,1.48,1.27,11,39.62903225806452,0.8707093585375488
2020-02-07T02:14:36,37.426394,-122.093652,4.4,0.016,65.17,5,12,0.76,1.48,1.27,11,39.45161290322581,0.8707093585375488
2020-02-07T02:14:37,37.426394,-122.093652,4.4,0.013,65.17,5,12,0.76,1.48,1.27,11,39.306451612903224,0.8707093585375488
2020-02-07T02:14:38,37.42639416666667,-122.093652,4.4,0.01,65.18,5,12,0.76,1.48,1.27,11,39.403225806451616,0.8619837470498352
2020-02-07T02:14:39,37.426394,-122.093652,4.4,0.018,65.19,5,12,0.76,1.48,1.27,11,38.833333333333336,0.8707093585375488
2020-02-07T02:14:40,37.426394,-122.093652,4.4,0.02,65.19,5,12,0.76,1.48,1.27,11,39.516129032258064,0.8707093585375488
2020-02-07T02:14:41,37.426394,-122.093652,4.4,0.018,65.2,5,12,0.76,1.48,1.27,11,39.41935483870968,0.8707093585375488
2020-02-07T02:14:42,37.426394,-122.093652,4.4,0.021,65.2,5,12,0.76,1.48,1.27,11,39.53225806451613,0.8707093585375488
2020-02-07T02:14:43,37.42639416666667,-122.093652,4.4,0.016,65.2,5,12,0.76,1.48,1.27,11,39.564516129032256,0.8619837470498352
2020-02-07T02:14:44,37.42639416666667,-122.093652,4.4,0.012,65.2,5,12,0.76,1.48,1.27,11,39.29032258064516,0.8619837470498352
2020-02-07T02:14:45,37.42639416666667,-122.093652,4.4,0.012,65.19,5,12,0.76,1.48,1.27,11,39.54838709677419,0.8619837470498352
2020-02-07T02:14:46,37.42639416666667,-122.09365183333334,4.4,0.015,65.19,5,12,0.76,1.48,1.27,11,39.29032258064516,0.848962095515617
2020-02-07T02:14:47,37.42639416666667,-122.09365183333334,4.4,0.019,65.18,5,12,0.76,1.48,1.27,11,39.5,0.848962095515617
2020-02-07T02:14:48,37.42639416666667,-122.09365183333334,4.4,0.024,65.18,5,12,0.76,1.48,1.27,11,39.306451612903224,0.848962095515617
2020-02-07T02:14:49,37.42639416666667,-122.09365183333334,4.4,0.019,65.19,5,12,0.76,1.48,1.27,11,39.145161290322584,0.848962095515617
2020-02-07T02:14:50,37.42639416666667,-122.09365183333334,4.4,0.018,65.19,5,12,0.76,1.48,1.27,11,39.193548387096776,0.848962095515617
2020-02-07T02:14:51,37.42639416666667,-122.09365166666667,4.4,0.022,65.18,5,12,0.76,1.48,1.27,11,38.96774193548387,0.8363028510891021
2020-02-07T02:14:52,37.42639416666667,-122.09365166666667,4.4,0.018,65.18,5,12,0.76,1.48,1.27,11,39.25806451612903,0.8372291318180435
2020-02-07T02:14:53,37.42639416666667,-122.09365166666667,4.4,0.012,65.18,5,12,0.76,1.48,1.27,11,39.29032258064516,0.8386124490695606
2020-02-07T02:14:54,37.42639416666667,-122.09365166666667,4.4,0.008,65.18,5,12,0.76,1.47,1.26,11,39.37096774193548,0.8399323859654583
2020-02-07T02:14:55,37.42639416666667,-122.09365166666667,4.4,0.003,65.18,5,12,0.76,1.47,1.26,11,39.41935483870968,0.8415899503379624
2020-02-07T02:14:56,37.42639416666667,-122.09365166666667,4.4,0.005,65.18,5,12,0.76,1.47,1.26,11,39.20967741935484,0.8425421450092405
2020-02-07T02:14:57,37.42639416666667,-122.09365166666667,4.4,0.019,65.18,5,12,0.76,1.47,1.26,11,39.53225806451613,0.8429287141474606
2020-02-07T02:14:58,37.42639416666667,-122.09365166666667,4.3,0.013,65.19,5,12,0.76,1.47,1.26,11,39.41935483870968,0.8429287141474606
2020-02-07T02:14:59,37.42639416666667,-122.09365166666667,4.3,0.011,65.18,5,12,0.76,1.47,1.26,11,39.61290322580645,0.8426208516888025
2020-02-07T02:15:00,37.42639416666667,-122.09365166666667,4.3,0.004,65.18,5,12,0.76,1.47,1.26,11,39.516129032258064,0.841836923991968
2020-02-07T02:15:01,37.42639416666667,-122.09365166666667,4.3,0.005,65.19,5,12,0.76,1.47,1.26,11,39.516129032258064,0.8414002781452415
2020-02-07T02:15:02,37.42639416666667,-122.09365166666667,4.3,0.008,65.2,5,12,0.76,1.47,1.26,11,39.564516129032256,0.8414002781452415
2020-02-07T02:15:03,37.42639416666667,-122.09365166666667,4.3,0.007,65.19,5,12,0.76,1.47,1.26,11,39.32258064516129,0.8414002781452415
2020-02-07T02:15:04,37.42639416666667,-122.09365166666667,4.3,0.011,65.19,5,12,0.76,1.47,1.26,11,39.596774193548384,0.8414002781452415
2020-02-07T02:15:05,37.42639416666667,-122.09365166666667,4.3,0.008,65.19,5,12,0.76,1.47,1.26,11,39.435483870967744,0.8414002781452415
2020-02-07T02:15:06,37.42639416666667,-122.09365166666667,4.3,0.007,65.2,5,12,0.76,1.47,1.26,11,39.62903225806452,0.8414002781452415
2020-02-07T02:15:07,37.42639416666667,-122.09365166666667,4.3,0.005,65.21,5,12,0.76,1.47,1.26,11,39.62903225806452,0.8414002781452415
